Company Name,Ticker,Last Close
"Agilent Technologies","A","117.44"
"Alcoa","AA","34.55"
"Ares Acquisition Corp.","AAC","10.5"
"AAC Technologies","AACAY","1.965"
"ATA","AACG","1.4"
"Armada Acquisition Corp. I","AACI","10.239"
"Aadi Bioscience","AADI","8.19"
"AIA","AAGIY","41.1"
"Arlington Asset Investment","AAIC","4.23"
"American Airlines","AAL","14.93"
"Altisource Asset Management","AAMC","90.19"
"Atlantic American","AAME","2.15"
"Aaron's","AAN","13.96"
"Applied Optoelectronics","AAOI","2.72"
"AAON","AAON","93.05"
"Advance Auto Parts","AAP","66.07"
"Apple","AAPL","179.21"
"Accelerate Acquisition","AAQC","10.115"
"American Assets Trust","AAT","19.75"
"Autoscope Technologies","AATC","4.33"
"Advantage Oil & Gas","AAVVF","5.52"
"AllianceBernstein","AB","34.98"
"ABB","ABBNY","37.37"
"AbbVie","ABBV","135.43"
"AmerisourceBergen","ABC","174.37"
"Ameris Bancorp","ABCB","35.64"
"AbCellera Biologics","ABCL","6.91"
"Abcam","ABCM","17.2"
"Abeona Therapeutics","ABEO","4"
"Ambev","ABEV","2.98"
"Asbury Automotive Group","ABG","220.16"
"ARCA biopharma","ABIO","2.1"
"American Biltrite","ABLT","87.05"
"ABM Industries","ABM","48.51"
"Airbnb","ABNB","117.3"
"Acumen Pharmaceuticals","ABOS","5.2"
"Arbor Realty Trust","ABR","13.91"
"Absci Corporation","ABSI","1.78"
"Absolute Software","ABST","11.28"
"Abbott Laboratories","ABT","102.62"
"Arbutus Biopharma","ABUS","2.6"
"Associated Capital Group","AC","36.5"
"Arcosa","ACA","70.27"
"Atlantic Coastal Acquisition Corp. II","ACAB","10.36"
"Acri Capital Acquisition Corporation","ACAC","10.78"
"ACADIA Pharmaceuticals","ACAD","23.99"
"Atlantic Coastal Acquisition","ACAH","10.14"
"Athena Consumer Acquisition Corp.","ACAQ","10.83"
"Alset Capital Acquisition Corp.","ACAX","10.4"
"Ace Global Business Acquisition","ACBA","11.16"
"Accolade","ACCD","13.67"
"Acco Brands","ACCO","5.23"
"ProFrac Holding Corp.","ACDC","12.01"
"Air Canada","ACDVF","16.55"
"Accel Entertainment","ACEL","9.86"
"Adicet Bio","ACET","5.32"
"Agri Bank China","ACGBY","9.58"
"Arch Capital Group","ACGL","71.2"
"Aceragen, Inc.","ACGN","1.65"
"Acadia Healthcare","ACHC","68.06"
"Arch Biopartners Inc.","ACHFF","1.4"
"Achilles Therapeutics","ACHL","1"
"Archer Aviation","ACHR","3.12"
"Achieve Life Sciences","ACHV","6.28"
"Albertsons Companies","ACI","20.83"
"AC Immune","ACIU","2.31"
"ACI Worldwide","ACIW","23.66"
"Axcelis Technologies","ACLS","165.09"
"Arcellx","ACLX","41.02"
"AECOM","ACM","83.06"
"ACM Research","ACMR","10.33"
"Acmat","ACMT","33.5"
"Acmat","ACMTA","33.5"
"Accenture","ACN","308.04"
"ACNB","ACNB","31.48"
"Ascent Industries Co.","ACNT","10.55"
"Aclarion","ACON","1.05"
"Acorda Therapeutics","ACOR","10.21"
"ACRES Commercial Realty","ACR","8.35"
"Ares Commercial Real Estate","ACRE","9.76"
"American Clean Resources Group, Inc.","ACRG","2.99"
"Acropolis Infrastructure Acquisition","ACRO","10.26"
"Aclaris Therapeutics","ACRS","9.5"
"Acrivon Therapeutics, Inc.","ACRV","12.49"
"AcelRx Pharmaceuticals","ACRX","1.03"
"Enact Holdings","ACT","25.65"
"Acacia Research","ACTG","4.58"
"Acme United","ACU","25.195"
"ACV Auctions","ACVA","18"
"","ACWI","94.29"
"Acurx Pharmaceuticals","ACXP","2.9"
"Adagene","ADAG","1.36"
"Adaptimmune Therapeutics","ADAP","1.08"
"Adobe","ADBE","432.89"
"Agree Realty","ADC","65.4"
"ADC Therapeutics","ADCT","2.55"
"Color Star Technology","ADD","1.155"
"Adidas","ADDYY","85.76"
"ADEIA INC","ADEA","10.38"
"26 Capital Acquisition","ADER","10.73"
"Advanced Emissions Solutions","ADES","1.39"
"Adit EdTech Acquisition","ADEX","10.43"
"Analog Devices","ADI","177.97"
"Archer Daniels Midland","ADM","72.39"
"ADMA Biologics","ADMA","4.06"
"Adamis Pharmaceuticals","ADMP","2.2"
"Adient","ADNT","35.55"
"Edoc Acquisition","ADOC","10.9629"
"Adocia","ADOCY","11.8"
"Automatic Data Processing","ADP","216.74"
"Adaptive Biotechnologies","ADPT","7.7"
"Ahold","ADRNY","31.55"
"Ault Disruptive Technologies Corporation","ADRT","10.81"
"Andritz","ADRZY","11.31"
"ADS-TEC Energy","ADSE","6.25"
"Autodesk","ADSK","208.01"
"ADT","ADT","6.18"
"AdTheorent","ADTH","1.75"
"ADTRAN Holdings, Inc.","ADTN","9.14"
"Addus HomeCare","ADUS","93.84"
"Advantage Solutions","ADV","2.15"
"Adverum Biotechnologies","ADVM","1.4"
"ADVA Optical","ADVOF","21.81"
"","ADX","16.17"
"Advaxis","ADXS","1.27"
"Adyen","ADYEY","16.95"
"Adams Resources & Energy","AE","34.52"
"AltEnergy Acquisition Corp.","AEAE","10.34"
"Ameren","AEE","81.55"
"","AEF","5.3"
"Aegon","AEG","4.72"
"Antelope Enterprise Holdings L","AEHL","1.1573"
"Aehr Test Systems","AEHR","42.53"
"ALSET INC","AEI","1.76"
"Advanced Energy Industries","AEIS","100.53"
"American Equity Investment Life Holding","AEL","41.92"
"Agnico Eagle Mines","AEM","52.02"
"Alliance Entertainment Holding Corporation","AENT","3"
"Grana y Montero","AENZ","1.99"
"American Eagle Outfitters","AEO","11.59"
"American Electric Power","AEP","83.44"
"Aercap","AER","58.75"
"Applied Energetics","AERG","2.73"
"AES","AES","20.13"
"Atlas Energy Solutions Inc.","AESI","17.7"
"Arc Resources","AETUF","12.635"
"Aeva Technologies","AEVA","1.43"
"ATOS ORIGIN","AEXAY","3.09"
"Audioeye","AEYE","5.73"
"AEterna Zentaris","AEZS","2.92"
"Aura FAT Projects Acquisition Corp.","AFAR","10.59"
"Affinity Bancshares","AFBI","12.36"
"AFC Gamma","AFCG","12.24"
"American Financial Group","AFG","116.66"
"Aflac","AFL","67.67"
"Air France-KLM","AFLYY","1.72"
"FORAFRIC GLOBAL","AFRI","11.2"
"Affirm","AFRM","15.82"
"AfterNext HealthTech Acquisition Corp.","AFTR","10.34"
"Afya","AFYA","12.65"
"First Majestic Silver","AG","5.86"
"African Gold Acquisition","AGAC","10.41"
"Allied Gaming & Entertainment Inc.","AGAE","1.07"
"AGBA Group Holding Limited","AGBA","1.52"
"AGCO","AGCO","120.63"
"Agenus","AGEN","1.85"
"Ageas","AGESY","41.09"
"","AGG","98.2"
"Alamos Gold","AGI","12.58"
"Agios Pharmaceuticals","AGIO","26.82"
"Agilon Health","AGL","20.75"
"Federal Agricultural Mortgage","AGM","145.92"
"AGM Group Holdings","AGMH","1.75"
"AGNC Investment","AGNC","9.66"
"Assured Guaranty","AGO","53.78"
"Agile Property Holdings","AGPYY","11"
"Avangrid","AGR","38.22"
"Adecoagro","AGRO","9.62"
"Agile Therapeutics","AGRX","3.64"
"PlayAGS","AGS","5.82"
"Agiliti","AGTI","17.52"
"Argan","AGX","43.56"
"Agilysys","AGYS","72.76"
"","AGZ","107.29"
"Anhui Conch Cement","AHCHY","13.26"
"AdaptHealth","AHCO","10"
"Adecco","AHEXY","15.57"
"Armada Hoffler Properties","AHH","11.52"
"Asahi Kasei","AHKSY","13.82"
"Ahren Acquisition Corp.","AHRN","10.49"
"Ashford Hospitality Trust","AHT","4.85"
"C3.ai","AI","38.19"
"AIB Acquisition","AIB","10.78"
"Agent Information Software","AIFS","1.42"
"American International Group","AIG","55.93"
"Albany International","AIN","89.52"
"Ashford","AINC","10.1895"
"Arteris","AIP","7.86"
"Air Liquide","AIQUY","33.77"
"AAR","AIR","53.55"
"Apartment Income REIT","AIRC","36.09"
"Airgain","AIRG","5.82"
"Air Industries Group","AIRI","3.5"
"AirSculpt Technologies","AIRS","7.89"
"Air T","AIRT","27.01"
"Air China","AIRYY","15.89"
"Applied Industrial Technologies","AIT","132.02"
"Meta Data","AIU","1.09"
"Apartment Investment and Management","AIV","8.66"
"XIAO-I Corporation Unsponsored ADR","AIXI","5.7"
"Assurant","AIZ","124.94"
"Arthur J. Gallagher & Co.","AJG","205.34"
"Ajinomoto","AJINY","42.21"
"Ashmore Group","AJMPF","2.91"
"Aerojet Rocketdyne Holdings","AJRD","54.51"
"Great Ajax","AJX","5.71"
"Akamai Technologies","AKAM","93.31"
"Akebia Therapeutics","AKBA","1.2"
"Akbank Turk Anonim Sirketi","AKBTY","1.67"
"Akili, Inc.","AKLI","1.24"
"Embotelladora Andina","AKO.A","12.76"
"Embotelladora Andina","AKO.B","15.63"
"Acadia Realty Trust","AKR","13.71"
"Akero Therapeutics","AKRO","53.24"
"Akoustis Technologies","AKTS","3.39"
"Akoya Biosciences","AKYA","5.7"
"AkzoNobel","AKZOY","25.7801"
"Air Lease","AL","40.66"
"ALARUM TEC LTD","ALAR","2.35"
"Albemarle","ALB","213.11"
"Avalon GloboCare","ALBT","2.28"
"Community Capital Bancshares","ALBY","17.75"
"Alcon","ALC","79.3"
"AltC Acquisition","ALCC","10.38"
"Alico","ALCO","25.15"
"Aldeyra Therapeutics","ALDX","11.3"
"Allete","ALE","61.02"
"Alector","ALEC","7.42"
"Alexander & Baldwin Holdings","ALEX","19.24"
"Alfa Laval","ALFVY","36.5"
"Alamo Group","ALG","179.58"
"Allegro MicroSystems","ALGM","39.41"
"Align Technology","ALGN","304.68"
"Aligos Therapeutics","ALGS","1.18"
"Allegiant","ALGT","108.23"
"Alignment Healthcare","ALHC","6.57"
"Alimera Sciences","ALIM","2.89"
"Alight","ALIT","8.98"
"Allianz","ALIZY","22.53"
"Alaska Air Group","ALK","47.46"
"Alkermes","ALKS","30.4"
"Alkami Technology","ALKT","15.17"
"Allstate","ALL","109.99"
"Allegion","ALLE","110.17"
"Allego","ALLG","2.36"
"Allakos","ALLK","4.94"
"Allogene Therapeutics","ALLO","5.88"
"Allot","ALLT","2.8"
"Ally Financial","ALLY","28.18"
"Alliance Semiconductor","ALMC","5.75"
"ANA","ALNPY","4.38"
"Alnylam Pharmaceuticals","ALNY","192.96"
"ALSP Orchid Acquisition Corporation I","ALOR","10.53"
"AstroNova","ALOT","15.72"
"Alpha Healthcare Acquisition Corp. III","ALPA","10.26"
"Astellas Pharma","ALPMY","16.495"
"Alpine Immune Sciences","ALPN","10.8"
"Alpine 4 Holdings, Inc.","ALPP","2.46"
"Alarm.com","ALRM","51.59"
"Aileron Therapeutics","ALRN","1.5998"
"Alerus Financial","ALRS","18.42"
"Alpha Star Acquisition","ALSA","10.67"
"Alstom","ALSMY","2.85"
"Allison Transmission Holdings","ALSN","51.26"
"Altimmune","ALT","4.2"
"Alta Equipment Group","ALTG","15.36"
"AlTi Global, Inc.","ALTI","5.78"
"Alto Ingredients","ALTO","2.47"
"Altair Engineering","ALTR","74.7"
"Altitude Acquisition","ALTU","10.08"
"Autoliv","ALV","87.1"
"Alvotech","ALVO","8.19"
"Alvopetro Energy","ALVOF","7.15"
"AlloVir","ALVR","5.61"
"Alexander's","ALX","181.45"
"ALX Oncology Holdings","ALXO","8.35"
"Alithya Group","ALYA","1.76"
"Antero Midstream","AM","10.76"
"Amadeus IT Group","AMADY","73.51"
"Amalgamated Financial","AMAL","16.28"
"Ambrx Biopharma","AMAM","12.9"
"American Acquisition Opportunity","AMAO","10.21"
"Applied Materials","AMAT","133.94"
"Ambarella","AMBA","79.285"
"Ambac","AMBC","14.25"
"AMBIPAR EMERGNC","AMBI","6.05"
"American Bank","AMBK","16.99"
"Ardagh Metal Packaging","AMBP","3.95"
"American Business Bank","AMBZ","28.65"
"AMC Entertainment","AMC","4.64"
"Amcor","AMCR","10"
"AMC Networks","AMCX","11.53"
"Advanced Micro Devices","AMD","124.23"
"Amada","AMDLY","34.38"
"AMETEK","AME","149.29"
"Amedisys","AMED","92.37"
"Apollo Medical","AMEH","33.59"
"AMEN Properties","AMEN","500"
"AMB Financial","AMFC","21.25"
"Amplifon","AMFPF","34"
"Affiliated Managers Group","AMG","147.61"
"Amgen","AMGN","221.22"
"American Homes 4 Rent","AMH","35.09"
"AssetMark Financial","AMK","29.03"
"A.P. Moller-Maersk","AMKBY","8.605"
"Amkor Technology","AMKR","25.78"
"American Lithium","AMLI","1.93"
"Amylyx Pharmaceuticals","AMLX","25.56"
"AMN Healthcare Services","AMN","102.72"
"American National Bankshares","AMNB","29.69"
"Armanino Foods of Distinction","AMNF","4.15"
"Allied Motion Technologies","AMOT","36.91"
"Ameriprise Financial","AMP","312.97"
"AmpliTech Group","AMPG","2.49"
"Amphastar Pharmaceuticals","AMPH","45.88"
"Amplitude","AMPL","10.29"
"Altus Power","AMPS","5.22"
"Amprius Technologies, Inc.","AMPX","8.46"
"Amplify Energy","AMPY","7.25"
"Alpha Metallurgical Resources","AMR","148.24"
"Ameresco","AMRC","47.49"
"AMark Precious Metals","AMRK","37.29"
"Amarin","AMRN","1.26"
"Amneal Pharmaceuticals","AMRX","2.54"
"American Shared Hospital Services","AMS","2.68"
"American Superconductor","AMSC","6.67"
"AMERISAFE","AMSF","53.29"
"ams-OSRAM AG Unsponsored ADR","AMSSY","3.45"
"Amesite","AMST","3.69"
"American Software","AMSWA","13.43"
"American Tower","AMT","189.11"
"Amerant Bancorp","AMTB","19.8"
"AMTD IDEA Group","AMTD","1.67"
"Aemetis","AMTX","6.95"
"American Woodmark","AMWD","65.86"
"American Well","AMWL","2.61"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","22.38"
"","AMZA","32.7"
"Amazon.com","AMZN","126.61"
"AutoNation","AN","140.06"
"AnaptysBio","ANAB","18.76"
"The Andersons","ANDE","42.22"
"Anebulo Pharmaceuticals","ANEB","2.4869"
"Arista Networks","ANET","159.68"
"Abercrombie & Fitch","ANF","32.73"
"ANGHAMI INC","ANGH","1.05"
"Angi","ANGI","3.09"
"AngioDynamics","ANGO","10.16"
"Anika Therapeutics","ANIK","26.95"
"Acerinox","ANIOY","5.325"
"ANI Pharmaceuticals","ANIP","48.95"
"Anixa Biosciences","ANIX","3.51"
"Annexon","ANNX","3.22"
"Anta Sports Products","ANPDF","10.78"
"ANSYS","ANSS","325.59"
"AirMedia Group","ANTE","1.19"
