Ticker,Date,High,Low
aapl,2018-06-30 00:00:00-04:00,44.82,44.17
aapl,2018-07-31 00:00:00-04:00,45.76,45.16
aapl,2018-08-31 00:00:00-04:00,51.39,50.61
aapl,2018-09-30 00:00:00-04:00,53.83,52.77
aapl,2018-10-31 00:00:00-04:00,53.69,52.24
aapl,2018-11-30 00:00:00-05:00,46.62,45.36
aapl,2018-12-31 00:00:00-05:00,40.26,38.95
aapl,2019-01-31 00:00:00-05:00,37.42,36.56
aapl,2019-02-28 00:00:00-05:00,41.73,41.16
aapl,2019-03-31 00:00:00-04:00,44.68,43.83
aapl,2019-04-30 00:00:00-04:00,48.71,47.99
aapl,2019-05-31 00:00:00-04:00,46.84,45.83
aapl,2019-06-30 00:00:00-04:00,47.25,46.38
aapl,2019-07-31 00:00:00-04:00,50.14,49.46
aapl,2019-08-31 00:00:00-04:00,50.5,49.34
aapl,2019-09-30 00:00:00-04:00,53.44,52.58
aapl,2019-10-31 00:00:00-04:00,57.7,56.72
aapl,2019-11-30 00:00:00-05:00,64.3,63.52
aapl,2019-12-31 00:00:00-05:00,67.86,66.88
aapl,2020-01-31 00:00:00-05:00,76.76,75.42
aapl,2020-02-29 00:00:00-05:00,77.13,75.04
aapl,2020-03-31 00:00:00-04:00,66.02,62.38
aapl,2020-04-30 00:00:00-04:00,67.51,65.62
aapl,2020-05-31 00:00:00-04:00,76.84,75.15
aapl,2020-06-30 00:00:00-04:00,85.75,83.61
aapl,2020-07-31 00:00:00-04:00,94.83,92.55
aapl,2020-08-31 00:00:00-04:00,116.58,113.62
aapl,2020-09-30 00:00:00-04:00,116.1,110.74
aapl,2020-10-31 00:00:00-04:00,116.33,113.02
aapl,2020-11-30 00:00:00-05:00,116.42,113.67
aapl,2020-12-31 00:00:00-05:00,126.71,123.88
aapl,2021-01-31 00:00:00-05:00,133.08,129.05
aapl,2021-02-28 00:00:00-05:00,131.26,128.17
aapl,2021-03-31 00:00:00-04:00,121.83,118.81
aapl,2021-04-30 00:00:00-04:00,131.15,128.74
aapl,2021-05-31 00:00:00-04:00,126.63,124.32
aapl,2021-06-30 00:00:00-04:00,129.14,127.27
aapl,2021-07-31 00:00:00-04:00,144.56,141.88
aapl,2021-08-31 00:00:00-04:00,147.68,145.34
aapl,2021-09-30 00:00:00-04:00,148.48,145.73
aapl,2021-10-31 00:00:00-04:00,144.94,142.5
aapl,2021-11-30 00:00:00-05:00,154.12,151.22
aapl,2021-12-31 00:00:00-05:00,174.11,169.77
aapl,2022-01-31 00:00:00-05:00,170.96,166.19
aapl,2022-02-28 00:00:00-05:00,170.28,166.31
aapl,2022-03-31 00:00:00-04:00,165.93,161.73
aapl,2022-04-30 00:00:00-04:00,168.27,163.86
aapl,2022-05-31 00:00:00-04:00,150.01,144.46
aapl,2022-06-30 00:00:00-04:00,141.08,137.29
aapl,2022-07-31 00:00:00-04:00,149.87,146.27
aapl,2022-08-31 00:00:00-04:00,167.78,164.74
aapl,2022-09-30 00:00:00-04:00,154.6,150.21
aapl,2022-10-31 00:00:00-04:00,146.13,141.83
aapl,2022-11-30 00:00:00-05:00,147.57,143.06
aapl,2022-12-31 00:00:00-05:00,139.76,135.88
aapl,2023-01-31 00:00:00-05:00,136.87,133.35
aapl,2023-02-28 00:00:00-05:00,152.0,148.72
aapl,2023-03-31 00:00:00-04:00,156.15,153.03
aapl,2023-04-30 00:00:00-04:00,165.7,163.33
aapl,2023-05-31 00:00:00-04:00,173.66,171.35
aapl,2023-06-30 00:00:00-04:00,182.14,178.94
abnb,2020-12-31 00:00:00-05:00,155.12,142.49
abnb,2021-01-31 00:00:00-05:00,176.64,160.63
abnb,2021-02-28 00:00:00-05:00,203.92,191.57
abnb,2021-03-31 00:00:00-04:00,194.55,183.57
abnb,2021-04-30 00:00:00-04:00,181.57,174.85
abnb,2021-05-31 00:00:00-04:00,147.35,140.5
abnb,2021-06-30 00:00:00-04:00,151.47,146.21
abnb,2021-07-31 00:00:00-04:00,144.83,140.29
abnb,2021-08-31 00:00:00-04:00,151.82,146.78
abnb,2021-09-30 00:00:00-04:00,168.19,163.02
abnb,2021-10-31 00:00:00-04:00,172.08,167.68
abnb,2021-11-30 00:00:00-05:00,192.88,184.03
abnb,2021-12-31 00:00:00-05:00,173.42,165.26
abnb,2022-01-31 00:00:00-05:00,161.81,153.09
abnb,2022-02-28 00:00:00-05:00,168.6,159.42
abnb,2022-03-31 00:00:00-04:00,160.28,152.46
abnb,2022-04-30 00:00:00-04:00,167.99,160.55
abnb,2022-05-31 00:00:00-04:00,127.44,118.83
abnb,2022-06-30 00:00:00-04:00,109.41,103.68
abnb,2022-07-31 00:00:00-04:00,101.56,96.68
abnb,2022-08-31 00:00:00-04:00,119.01,114.68
abnb,2022-09-30 00:00:00-04:00,116.91,111.98
abnb,2022-10-31 00:00:00-04:00,115.26,109.98
abnb,2022-11-30 00:00:00-05:00,101.78,97.37
abnb,2022-12-31 00:00:00-05:00,92.66,89.12
abnb,2023-01-31 00:00:00-05:00,100.41,96.51
abnb,2023-02-28 00:00:00-05:00,125.0,119.55
abnb,2023-03-31 00:00:00-04:00,122.48,118.59
abnb,2023-04-30 00:00:00-04:00,117.12,113.73
abnb,2023-05-31 00:00:00-04:00,114.09,110.12
abnb,2023-06-30 00:00:00-04:00,119.74,115.42
adbe,2018-06-30 00:00:00-04:00,249.83,244.55
adbe,2018-07-31 00:00:00-04:00,255.27,249.86
adbe,2018-08-31 00:00:00-04:00,257.26,252.85
adbe,2018-09-30 00:00:00-04:00,269.31,263.19
adbe,2018-10-31 00:00:00-04:00,257.91,247.73
adbe,2018-11-30 00:00:00-05:00,242.28,233.78
adbe,2018-12-31 00:00:00-05:00,237.35,227.64
adbe,2019-01-31 00:00:00-05:00,240.22,234.44
adbe,2019-02-28 00:00:00-05:00,259.87,255.16
adbe,2019-03-31 00:00:00-04:00,263.32,257.72
adbe,2019-04-30 00:00:00-04:00,275.41,271.02
adbe,2019-05-31 00:00:00-04:00,280.01,274.26
adbe,2019-06-30 00:00:00-04:00,285.95,279.55
adbe,2019-07-31 00:00:00-04:00,308.3,303.54
adbe,2019-08-31 00:00:00-04:00,291.98,284.94
adbe,2019-09-30 00:00:00-04:00,283.14,276.37
adbe,2019-10-31 00:00:00-04:00,274.61,269.39
