Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
IBM,
2023-06-07 19:30:00,
5min,
Compact,
US/Eastern,
,"{'1. open': '134.3800', '2. high': '134.3800', '3. low': '134.3800', '4. close': '134.3800', '5. volume': '200'}"
,"{'1. open': '134.3500', '2. high': '134.3500', '3. low': '134.3500', '4. close': '134.3500', '5. volume': '276'}"
,"{'1. open': '134.2700', '2. high': '134.2700', '3. low': '134.2700', '4. close': '134.2700', '5. volume': '209'}"
,"{'1. open': '134.2700', '2. high': '134.2700', '3. low': '134.2700', '4. close': '134.2700', '5. volume': '250'}"
,"{'1. open': '134.2700', '2. high': '134.3800', '3. low': '134.2700', '4. close': '134.3800', '5. volume': '9253'}"
,"{'1. open': '134.3200', '2. high': '134.3200', '3. low': '134.3200', '4. close': '134.3200', '5. volume': '144'}"
,"{'1. open': '134.3000', '2. high': '134.3000', '3. low': '134.3000', '4. close': '134.3000', '5. volume': '130'}"
,"{'1. open': '134.3800', '2. high': '134.3800', '3. low': '134.3800', '4. close': '134.3800', '5. volume': '6723'}"
,"{'1. open': '134.2100', '2. high': '134.2500', '3. low': '134.2100', '4. close': '134.2500', '5. volume': '417'}"
,"{'1. open': '134.3800', '2. high': '134.3800', '3. low': '134.1800', '4. close': '134.1800', '5. volume': '83036'}"
,"{'1. open': '134.1900', '2. high': '134.4400', '3. low': '134.1550', '4. close': '134.3600', '5. volume': '542406'}"
,"{'1. open': '134.1100', '2. high': '134.2800', '3. low': '134.0900', '4. close': '134.1900', '5. volume': '185973'}"
,"{'1. open': '134.0300', '2. high': '134.1100', '3. low': '133.9400', '4. close': '134.1000', '5. volume': '125261'}"
,"{'1. open': '133.9400', '2. high': '134.0600', '3. low': '133.9300', '4. close': '134.0150', '5. volume': '63908'}"
,"{'1. open': '133.9823', '2. high': '134.0700', '3. low': '133.9000', '4. close': '133.9300', '5. volume': '63262'}"
,"{'1. open': '133.9700', '2. high': '134.0550', '3. low': '133.9100', '4. close': '133.9700', '5. volume': '55023'}"
,"{'1. open': '133.9600', '2. high': '133.9900', '3. low': '133.9100', '4. close': '133.9900', '5. volume': '37043'}"
,"{'1. open': '133.9000', '2. high': '134.0000', '3. low': '133.8800', '4. close': '133.9500', '5. volume': '38409'}"
,"{'1. open': '133.8900', '2. high': '133.9700', '3. low': '133.8750', '4. close': '133.9100', '5. volume': '41201'}"
,"{'1. open': '133.9000', '2. high': '133.9450', '3. low': '133.8600', '4. close': '133.8900', '5. volume': '27944'}"
,"{'1. open': '134.0100', '2. high': '134.0900', '3. low': '133.8600', '4. close': '133.9000', '5. volume': '45605'}"
,"{'1. open': '134.0700', '2. high': '134.1200', '3. low': '133.9900', '4. close': '134.0050', '5. volume': '44885'}"
,"{'1. open': '134.1000', '2. high': '134.1100', '3. low': '133.9750', '4. close': '134.0500', '5. volume': '34996'}"
,"{'1. open': '133.8800', '2. high': '134.1600', '3. low': '133.8400', '4. close': '134.1100', '5. volume': '63824'}"
,"{'1. open': '133.9300', '2. high': '133.9450', '3. low': '133.8400', '4. close': '133.8950', '5. volume': '28700'}"
,"{'1. open': '133.8800', '2. high': '133.9450', '3. low': '133.8300', '4. close': '133.9400', '5. volume': '30699'}"
,"{'1. open': '133.9607', '2. high': '133.9750', '3. low': '133.8400', '4. close': '133.8950', '5. volume': '27614'}"
,"{'1. open': '133.8600', '2. high': '133.9900', '3. low': '133.8600', '4. close': '133.9500', '5. volume': '34169'}"
,"{'1. open': '133.7999', '2. high': '133.8800', '3. low': '133.7800', '4. close': '133.8700', '5. volume': '140579'}"
,"{'1. open': '133.8000', '2. high': '133.9200', '3. low': '133.7300', '4. close': '133.7997', '5. volume': '22282'}"
,"{'1. open': '134.0434', '2. high': '134.0500', '3. low': '133.7300', '4. close': '133.7900', '5. volume': '53622'}"
,"{'1. open': '134.0700', '2. high': '134.1300', '3. low': '133.9800', '4. close': '134.0500', '5. volume': '41253'}"
